reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.45,21.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.5,22.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.55,24.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.6,25.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.65,27.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.7,28.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.75,30.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.8,32.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.85,35.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.9,39.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.95,43.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.975,48.0
2026-05-16,wk inc covid hosp,0,2026-05-16,08,quantile,0.99,54.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.01,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.025,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.05,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.1,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.15,1.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.2,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.25,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.3,5.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.35,6.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.4,7.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.45,8.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.5,9.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.55,10.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.6,12.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.65,13.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.7,14.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.75,16.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.8,18.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.85,20.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.9,23.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.95,26.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.975,31.0
2026-05-16,wk inc covid hosp,0,2026-05-16,09,quantile,0.99,36.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.01,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.025,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.05,1.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.1,1.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.15,2.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.2,2.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.25,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.3,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.35,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.4,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.45,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.5,5.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.55,5.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.6,5.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.65,6.0
2026-05-16,wk inc covid hosp,0,2026-05-16,10,quantile,0.7,6.0
