Term,Language,Connotation,IdentityGroup,IdentitySubgroup,IsRootTerm,IsPTCTerm,HasNonIdentityMeaning,IdentityGroup_ConvergenceScore,IdentityGroup_EvaluatorCount,Connotation_ConvergenceScore,Connotation_EvaluatorCount,IdentityGroup_Connotation_ConvergenceScore,IdentityGroup_Connotation_EvaluatorCount,HasNonIdentityMeaning_ConvergenceScore,HasNonIdentityMeaning_EvaluatorCount
ligbuk lady,en-US,NEUTRAL,Race_Nationality_Ethnicity,Ligbuk,False,True,,1,1,1.0,1,1.0,1,0.0,1
polysexual child,en-US,NEUTRAL,SOGIESC,SexualOrientation,False,True,,1,1,1.0,1,1.0,1,0.0,1
tongan child,en-US,NEUTRAL,Race_Nationality_Ethnicity,Tongan,False,True,,1,1,1.0,1,1.0,1,0.0,1
pagan lady,en-US,NEUTRAL,Religion,Paganism,False,True,,1,1,1.0,1,1.0,1,0.0,1
papuan kid,en-US,NEUTRAL,Race_Nationality_Ethnicity,Papuan,False,True,,1,1,1.0,1,1.0,1,0.0,1
babwisi kid,en-US,NEUTRAL,Race_Nationality_Ethnicity,Babwisi,False,True,,1,1,1.0,1,1.0,1,0.0,1
dibabawon teen,en-US,NEUTRAL,Race_Nationality_Ethnicity,Dibabawon                      ,False,True,,1,1,1.0,1,1.0,1,0.0,1
pagan teen,en-US,PEJORATIVE,Religion,Paganism,False,True,,1,1,1.0,1,1.0,1,0.0,1
guan dude,en-US,NEUTRAL,Race_Nationality_Ethnicity,Guan,False,True,,1,1,1.0,1,1.0,1,0.0,1
queer person,en-US,PEJORATIVE,SOGIESC,SexualOrientation_Homosexual,False,True,,1,1,1.0,1,1.0,1,0.0,1
raikirati's,en-US,NEUTRAL,Race_Nationality_Ethnicity,Raikirati,False,False,False,1,1,1.0,1,1.0,1,1.0,1
creole child,en-US,NEUTRAL,Race_Nationality_Ethnicity,Creole,False,True,,1,1,1.0,1,1.0,1,0.0,1
newari's,en-US,NEUTRAL,Race_Nationality_Ethnicity,Newari,False,False,True,1,1,1.0,1,1.0,1,1.0,1
malinese man,en-US,NEUTRAL,Race_Nationality_Ethnicity, Malinese,False,True,,1,1,1.0,1,1.0,1,0.0,1
kabihug gal,en-US,NEUTRAL,Race_Nationality_Ethnicity,Kabihug                           ,False,True,,1,1,1.0,1,1.0,1,0.0,1
nyamwezis',en-US,NEUTRAL,Race_Nationality_Ethnicity,nyamwezi,False,False,False,1,1,1.0,1,1.0,1,1.0,1
colombian,en-US,NEUTRAL,Race_Nationality_Ethnicity,Colombian,True,False,True,1,1,1.0,1,1.0,1,1.0,1
dongxiang gal,en-US,NEUTRAL,Race_Nationality_Ethnicity,Dongxiang,False,True,,1,1,1.0,1,1.0,1,0.0,1
kamar kid,en-US,NEUTRAL,Race_Nationality_Ethnicity,Kamar,False,True,,1,1,1.0,1,1.0,1,0.0,1
welshmen,en-US,NEUTRAL,Race_Nationality_Ethnicity,Welshmen,True,False,False,1,1,1.0,1,1.0,1,1.0,1
finnish teenager,en-US,NEUTRAL,Race_Nationality_Ethnicity,Finnish,False,True,,1,1,1.0,1,1.0,1,0.0,1
lao girl,en-US,NEUTRAL,Race_Nationality_Ethnicity,Lao,False,True,,1,1,1.0,1,1.0,1,0.0,1
lari kid,en-US,NEUTRAL,Race_Nationality_Ethnicity,lari,False,True,,1,1,1.0,1,1.0,1,0.0,1
lhoba person,en-US,NEUTRAL,Race_Nationality_Ethnicity,Lhoba,False,True,,1,1,1.0,1,1.0,1,0.0,1
