reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.45,108.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.5,108.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.55,126.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.6,130.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.65,145.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.7,162.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.75,168.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.8,168.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.85,180.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.9,191.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.95,274.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.975,378.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.99,622.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.01,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.025,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.05,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.1,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.15,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.2,5.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.25,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.3,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.35,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.4,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.45,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.5,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.55,7.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.6,7.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.65,8.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.7,9.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.75,12.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.8,13.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.85,16.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.9,21.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.95,38.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.975,57.0
2026-06-06,wk inc covid hosp,0,2026-06-06,08,quantile,0.99,91.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.01,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.025,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.05,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.1,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.15,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.2,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.25,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.3,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.35,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.4,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.45,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.5,5.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.55,5.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.6,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.65,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.7,8.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.75,9.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.8,9.0
2026-06-06,wk inc covid hosp,0,2026-06-06,09,quantile,0.85,10.0
