frames,reward,visited_rooms,learned_transitions
117000000,14933.969985294252,32.0,57.0
118000000,14997.16270144497,32.0,59.68242963323992
119000000,15060.355417595685,32.0,62.44387062221457
120000000,15401.439271253541,32.0,63.1330689426681
121000000,16210.36818724093,32.0,64.0
122000000,17019.29710322832,32.0,64.0
123000000,17828.226019215712,32.0,65.06442053842424
124000000,18637.1549352031,32.0,67.0
125000000,19446.083851190488,32.0,67.0
126000000,20255.01276717788,32.0,67.0
127000000,21063.94168316527,32.0,67.0
128000000,21872.87059915266,32.0,67.0
129000000,22681.79951514005,32.0,67.0
130000000,23490.728431127438,32.0,67.0
131000000,24299.65734711483,32.0,68.25129156279098
132000000,25108.586263102217,32.0,69.92747693541918
133000000,25917.515179089605,32.0,71.48641166052562
134000000,26726.444095077,32.0,72.91991577303048
135000000,27535.37301106439,32.0,74.089471503287
136000000,28344.301927051776,32.0,75.55360174322853
137000000,29153.230843039168,32.0,76.17462630363954
138000000,29962.15975902656,32.0,77.59886365014492
139000000,30771.088675013947,32.0,79.12199124113754
140000000,31580.017591001335,32.0,80.59452168367346
141000000,32336.90086733443,32.0,81.0
142000000,32302.90351268344,32.0,81.0
143000000,32268.90615803245,32.0,82.04442915850927
144000000,32234.90880338146,32.0,83.47002746027395
145000000,32200.91144873047,32.0,84.8138305879317
146000000,32166.91409407948,32.0,86.13924425332206
147000000,32132.91673942849,32.0,87.46646365147679
148000000,32098.9193847775,32.0,88.83635867029328
149000000,32064.92203012651,32.0,89.0
150000000,32030.92467547552,32.0,89.0
151000000,31996.92732082453,32.0,89.0
152000000,31962.92996617354,32.0,89.0
153000000,31928.93261152255,32.0,89.0
154000000,31894.93525687156,32.0,89.0
155000000,31860.93790222057,32.0,89.0
156000000,31826.940547569575,32.0,89.0
157000000,31792.943192918585,32.0,89.0
158000000,31758.945838267595,32.0,89.0
159000000,31724.948483616605,32.0,89.0
160000000,31690.951128965615,32.0,89.0
161000000,31656.953774314625,32.0,89.0
162000000,31622.956419663635,32.0,89.0
163000000,31588.959065012645,32.0,89.08529310979402
164000000,31554.961710361655,32.0,90.66194954788199
165000000,31520.964355710665,32.0,91.0
166000000,31486.967001059675,32.0,91.56683046944954
167000000,31452.969646408685,32.0,92.86028144597971
168000000,31418.972291757695,32.0,94.25930061710255
169000000,31397.332281895327,32.0,95.0
170000000,31391.29601042295,32.0,95.96677051943409
171000000,31385.259738950575,32.0,97.0
172000000,31379.223467478198,32.0,97.0
173000000,31373.187196005823,32.0,97.0
174000000,31367.15092453345,32.0,97.0
175000000,31361.11465306107,32.0,97.0108826696362
176000000,31355.078381588697,32.0,98.18328391304121
